"Date","Price","Open","High","Low","Vol.","Change %"
"03/15/2023","255,705","255,377","257,078","253,683","","0.06%"
"03/14/2023","255,544","254,923","256,829","254,298","","0.26%"
"03/13/2023","254,883","252,167","255,493","250,274","","1.09%"
"03/10/2023","252,145","249,336","252,447","248,700","","1.15%"
"03/09/2023","249,266","249,149","249,882","247,287","","0.07%"
"03/08/2023","249,102","248,718","249,882","248,060","","0.18%"
"03/07/2023","248,647","251,018","251,638","248,337","","-0.95%"
"03/06/2023","251,031","252,077","252,404","250,953","","-0.39%"
"03/03/2023","252,019","251,038","252,273","250,527","","0.42%"
"03/02/2023","250,960","249,989","251,559","249,757","","0.42%"
"03/01/2023","249,910","249,014","251,008","248,230","","0.44%"
"02/28/2023","248,807","247,378","249,306","246,870","","0.62%"
"02/27/2023","247,271","247,216","247,907","246,325","","0.06%"
"02/24/2023","247,125","245,469","247,420","244,811","","0.76%"
"02/23/2023","245,255","246,511","247,313","245,196","","-0.49%"
"02/22/2023","246,462","247,727","248,162","246,020","","-0.50%"
"02/21/2023","247,699","247,223","248,719","246,574","","0.23%"
"02/20/2023","247,136","247,069","247,868","246,764","","0.06%"
"02/17/2023","246,990","245,934","247,471","245,331","","0.50%"
"02/16/2023","245,757","246,263","247,086","245,330","","-0.13%"
"02/15/2023","246,070","246,905","247,030","244,293","","-0.27%"
"02/14/2023","246,729","245,423","247,358","244,240","","0.56%"
"02/13/2023","245,365","245,053","247,309","244,835","","0.14%"
"02/10/2023","245,013","244,937","245,636","242,733","","0.08%"
"02/09/2023","244,808","246,413","247,459","244,499","","-0.63%"
"02/08/2023","246,350","245,550","247,008","245,096","","0.38%"
"02/07/2023","245,424","247,811","248,257","244,822","","-0.96%"
"02/06/2023","247,810","246,474","248,685","245,466","","1.27%"
"02/03/2023","244,700","246,081","246,953","243,976","","-0.54%"
"02/02/2023","246,020","251,431","252,491","245,605","","-2.11%"
"02/01/2023","251,334","250,881","251,815","248,348","","0.19%"
"01/31/2023","250,849","250,876","251,622","247,900","","0.03%"
"01/30/2023","250,770","250,101","251,419","249,167","","0.20%"
"01/27/2023","250,264","251,218","251,303","249,049","","-0.35%"
"01/26/2023","251,140","252,203","252,471","250,368","","-0.39%"
"01/25/2023","252,125","252,074","252,750","249,423","","0.04%"
"01/24/2023","252,016","252,275","252,544","251,027","","-0.07%"
"01/23/2023","252,197","249,551","252,474","249,042","","1.02%"
"01/20/2023","249,646","248,167","251,529","247,888","","0.63%"
"01/19/2023","248,080","245,534","248,442","243,861","","1.09%"
"01/18/2023","245,409","244,527","250,016","244,471","","0.37%"
"01/17/2023","244,502","246,670","246,935","244,323","","-0.83%"
"01/16/2023","246,544","245,499","246,734","244,658","","0.40%"
"01/13/2023","245,556","244,914","245,801","243,358","","0.28%"
"01/12/2023","244,859","248,475","248,719","244,566","","-1.38%"
"01/11/2023","248,291","248,201","250,194","247,233","","0.20%"
"01/10/2023","247,806","246,884","248,433","245,998","","0.39%"
"01/09/2023","246,854","246,181","248,516","245,942","","0.18%"
"01/06/2023","246,402","244,562","247,944","244,190","","0.77%"
"01/05/2023","244,525","246,111","246,480","243,934","","-0.62%"
"01/04/2023","246,042","241,169","246,415","240,438","","2.07%"
"01/03/2023","241,054","238,673","241,179","237,329","","1.11%"
"01/02/2023","238,411","239,264","239,264","238,244","","-0.33%"
"12/30/2022","239,197","241,410","241,573","237,829","","-0.88%"
"12/29/2022","241,328","242,805","242,827","240,898","","-0.50%"
"12/28/2022","242,541","242,098","243,429","240,760","","0.25%"
"12/27/2022","241,937","238,978","244,226","238,551","","1.30%"
"12/26/2022","238,831","238,768","239,571","237,935","","0.04%"
"12/23/2022","238,747","237,068","239,540","236,933","","0.83%"
"12/22/2022","236,777","240,359","240,593","236,320","","-1.47%"
"12/21/2022","240,298","239,436","241,003","238,548","","0.42%"
"12/20/2022","239,284","244,728","245,650","237,273","","-2.17%"
"12/19/2022","244,602","243,867","245,262","243,325","","-0.16%"
"12/16/2022","244,995","245,127","245,637","243,048","","0.08%"
"12/15/2022","244,793","244,843","245,686","241,480","","0.01%"
"12/14/2022","244,758","245,522","245,805","243,079","","-0.24%"
"12/13/2022","245,357","245,244","248,464","243,664","","0.08%"
"12/12/2022","245,155","245,458","245,821","244,428","","-0.08%"
"12/09/2022","245,346","244,533","246,262","243,113","","0.38%"
"12/08/2022","244,414","244,055","244,939","243,430","","0.19%"
"12/07/2022","243,948","242,505","244,347","242,106","","0.67%"
"12/06/2022","242,324","241,731","243,335","241,249","","0.22%"
"12/05/2022","241,786","241,923","243,500","241,278","","0.14%"
"12/02/2022","241,445","243,991","244,136","239,732","","-1.01%"
"12/01/2022","243,913","244,228","245,175","241,698","","-0.04%"
